iter	Passed	Remaining
0	35	14052
1	66	13165
2	96	12716
3	126	12524
4	156	12363
5	186	12232
6	217	12219
7	246	12059
8	274	11910
9	301	11756
10	329	11648
11	356	11535
12	384	11436
13	412	11364
14	439	11268
15	466	11201
16	494	11137
17	521	11074
18	548	11007
19	576	10951
20	603	10883
21	630	10837
22	658	10787
23	684	10728
24	716	10754
25	748	10763
26	780	10782
27	811	10783
28	842	10779
29	873	10769
30	902	10739
31	930	10701
32	958	10659
33	988	10637
34	1017	10608
35	1045	10575
36	1073	10528
37	1101	10490
38	1129	10451
39	1156	10407
40	1182	10356
41	1209	10312
42	1236	10266
43	1264	10232
44	1292	10193
45	1317	10142
46	1345	10102
47	1372	10064
48	1398	10017
49	1426	9982
50	1452	9939
51	1479	9897
52	1505	9857
53	1532	9816
54	1558	9774
55	1584	9731
56	1610	9692
57	1636	9650
58	1669	9646
59	1709	9688
60	1747	9712
61	1792	9770
62	1835	9819
63	1871	9824
64	1906	9824
65	1941	9827
66	1979	9840
67	2019	9860
68	2062	9893
69	2116	9979
70	2157	9996
71	2206	10051
72	2258	10117
73	2300	10136
74	2338	10134
75	2382	10156
76	2424	10169
77	2462	10166
78	2501	10162
79	2543	10175
80	2589	10199
81	2649	10276
82	2695	10295
83	2739	10304
84	2779	10299
85	2822	10303
86	2859	10288
87	2898	10275
88	2936	10261
89	2976	10251
90	3022	10264
91	3065	10263
92	3110	10266
93	3149	10251
94	3183	10219
95	3219	10193
96	3256	10171
97	3290	10140
98	3323	10106
99	3356	10069
100	3389	10033
101	3419	9991
102	3451	9951
103	3483	9914
104	3514	9872
105	3544	9830
106	3575	9790
107	3607	9752
108	3637	9710
109	3666	9666
110	3697	9625
111	3728	9586
112	3757	9542
113	3784	9495
114	3814	9453
115	3841	9406
116	3869	9360
117	3897	9314
118	3925	9268
119	3951	9219
120	3981	9180
121	4007	9132
