feature,importance
pm2_5,8.971486548364865
pm2_5_18h_mean,7.714352664491737
pm2_5_24h_mean,6.296941032454686
day_of_year,2.3258135292689017
pm2_5_change_24h,1.7351871978196451
wind_speed_72h_mean,1.0143126741580366
so2_72h_mean,0.9257726989923523
pm2_5_72h_trend,0.7673631130341595
humidity_24h_mean,0.6963333340021024
co_lag_72h,0.6456218706895861
o3_72h_std,0.6411175884999893
temp_24h_mean,0.5804024952285991
o3_24h_std,0.5262011176569832
pm10_24h_mean,0.47004082950445164
pm2_5_36h_trend,0.4015361381854246
day,0.3656475494435914
no2_24h_mean,0.36003321152515966
pm2_5_change_1h,0.35580637982006913
so2_24h_mean,0.35356600867018334
co_60h_trend,0.34438276442007576
pressure_72h_mean,0.33444103257375424
so2,0.3285272351463787
pm10_36h_trend,0.3283716791623951
wind_speed_60h_mean,0.3281514722447731
pm2_5_48h_trend,0.32616092547932024
pm10_60h_mean,0.31553482063663224
no2_18h_mean,0.29532291885558976
pm2_5_36h_std,0.2936375500346836
no2_60h_std,0.2936364694390924
so2_72h_std,0.2927973216137805
so2_60h_std,0.2903008791201367
o3_60h_trend,0.2894500172532076
co_72h_mean,0.27452973793727337
so2_lag_3h,0.26907091185917686
no2_72h_std,0.2669273281242629
day_of_year_sin,0.25954472523910493
pm10_change_1h,0.25444831070863094
wind_speed_24h_mean,0.2519854778490733
week_cos,0.2340129200054968
pm2_5_change_48h,0.22898594600792918
pm2_5_48h_std,0.22674555534495822
pm10_36h_std,0.22368983336029513
wind_speed_48h_mean,0.22251067440423503
pm10_72h_std,0.2211471071751513
pm10_change_24h,0.21525363443219053
temp_18h_trend,0.2020204799011243
pm_ratio,0.20065048686972412
co_36h_trend,0.19331858840024055
co_24h_std,0.1908616158901102
co_24h_mean,0.1895294239909059
pm10_36h_mean,0.1887258733883317
so2_48h_std,0.1880555197097685
no2_48h_std,0.186145945848696
pm2_5_72h_mean,0.18330649955748676
pm2_5_48h_mean,0.18285454672768617
pm2_5_36h_mean,0.18162368141885546
o3_change_24h,0.1780079007811652
co_72h_trend,0.17318579415968358
co_48h_std,0.17168005626532318
pm10_48h_mean,0.17056682759315342
so2_60h_trend,0.17010177370049384
pressure_24h_mean,0.16776951991514646
so2_lag_1h,0.16455062097195922
co_48h_mean,0.16349762652715752
wind_speed_72h_max,0.1625134351447858
o3_60h_std,0.16227496132856814
wind_speed_12h_mean,0.16149261013977398
so2_36h_std,0.15889295240032408
temp_48h_mean,0.15839700866559306
no2_18h_std,0.15293834786693147
o3_18h_trend,0.15165602920619786
co_lag_24h,0.15079898812276776
o3_36h_std,0.15008558688224832
so2_72h_trend,0.14688129907430766
o3_48h_std,0.14637554017884757
pressure_48h_mean,0.14198014705358297
so2_lag_6h,0.14189682774501164
o3_72h_mean,0.13815993994083253
pm10_change_48h,0.13645767413490006
co_change_48h,0.13493998235307483
hour_cos,0.13350179264125658
co,0.1287255952088239
pressure_60h_mean,0.12763552102782197
temp_72h_mean,0.12756958589396195
so2_12h_mean,0.12360733934288284
co_72h_std,0.12264382316011622
pm10_72h_mean,0.11981510431843632
so2_24h_std,0.11757679057048848
pm2_5_60h_mean,0.11677399342380419
pm10_12h_mean,0.11647465571813993
wind_speed_18h_mean,0.11361279889016129
o3_36h_trend,0.11188171732250274
so2_lag_48h,0.11094044393617669
co_18h_mean,0.11089424319658144
so2_48h_trend,0.10963601418292859
co_lag_6h,0.10611950093019762
temp_60h_trend,0.10558356036497465
o3_48h_mean,0.10257079665989628
seasonal_48h_factor,0.10255872831655416
no2_72h_mean,0.10045426041934623
pm10_60h_std,0.09996171140583596
so2_36h_trend,0.09962011780771188
so2_change_24h,0.09870721339243786
no2_48h_mean,0.09781275471463341
no2_36h_std,0.09735276967404949
pm2_5_lag_12h,0.09719644794612568
so2_lag_18h,0.09685248456513362
o3_24h_mean,0.09647249127088872
temp_36h_trend,0.09567641915797023
pm10_48h_std,0.09560918089220609
humidity_18h_mean,0.0946194137575336
co_18h_std,0.09408624079594431
co_lag_48h,0.09370312667418475
relative_humidity,0.09334629161076517
co_lag_3h,0.09263807641038664
humidity_72h_mean,0.09260427510211428
weekend_72h,0.09186698649772813
no,0.0896591592099536
temp_60h_mean,0.08865043372764346
pm2_5_lag_72h,0.08766212918525662
weekend_48h,0.08603608297339504
pm10_72h_trend,0.08364766956874735
o3_lag_6h,0.08280107936829804
no2_18h_trend,0.08241631299131626
so2_change_12h,0.08155647497093478
wind_speed_48h_max,0.0812083627457111
no2_36h_mean,0.08004956361748777
pm2_5_12h_std,0.07979771443332043
so2_48h_mean,0.07801761960953589
wind_speed_12h_max,0.07797863524196193
co_change_24h,0.07579769441568364
o3_lag_3h,0.07470676547354418
pm10_lag_36h,0.07322019464146433
pressure_12h_trend,0.07297232873539634
so2_lag_36h,0.07215519129573213
pm2_5_60h_trend,0.0716157923195018
co_60h_mean,0.06890213531805515
no2_24h_std,0.06872780217744268
so2_lag_72h,0.06861384585044761
humidity_36h_mean,0.06853362126927182
co_lag_1h,0.06768127035360065
temp_6h_trend,0.06445141357578558
humidity_48h_mean,0.06390161725614822
pm10_18h_mean,0.06144600583885565
pm2_5_72h_std,0.05971196256686948
no2_lag_48h,0.05866783790271582
pressure_48h_trend,0.05864027056269196
co_ppm,0.057713124212400206
wind_speed_36h_mean,0.056535278351007925
o3_6h_trend,0.055803886795469194
temp_72h_trend,0.05553623659866465
no2_change_48h,0.05487894229544688
pm2_5_lag_24h,0.05449387256276929
o3_lag_72h,0.05383403740641891
pm10_change_36h,0.05348619144264816
pm10_lag_24h,0.05346981403846142
is_friday,0.05326878949675836
pm2_5_12h_mean,0.05243383931438505
so2_6h_mean,0.0513855072713187
wind_speed_24h_max,0.05119482185524582
co_60h_std,0.051007465183154146
pressure_18h_trend,0.05042883785276361
co_lag_18h,0.050024459648639316
pm10_change_18h,0.04951891530813159
so2_60h_mean,0.049373373205614475
pressure_36h_mean,0.04873735855455126
pressure_72h_trend,0.04806722577152256
seasonal_72h_factor,0.047346110803076394
pm10_48h_trend,0.04717418520568182
co_36h_std,0.046580663905712236
pm10,0.0455694827891927
pressure_24h_trend,0.045499120770131525
pressure_60h_trend,0.04537061137732951
pm2_5_24h_std,0.04498474338025006
o3_lag_1h,0.0444789292099767
no2_change_1h,0.04444128759276977
no2_12h_std,0.043813363885875145
so2_36h_mean,0.04377320334931252
o3_18h_mean,0.04225225503016021
wind_speed_6h_mean,0.04220912563346527
pressure_36h_trend,0.04141312402511897
pm2_5_lag_3h,0.04114258568266586
so2_18h_std,0.040937149940785164
co_lag_36h,0.03765857222276906
day_of_week,0.036877967015983046
so2_18h_trend,0.03666754523717707
co_48h_trend,0.03628720551608663
no2_lag_18h,0.03583591123715351
humidity_12h_mean,0.03561933174516322
no2_60h_trend,0.03537801853604974
pressure_6h_mean,0.0349531171573236
pm2_5_60h_std,0.034139957260723726
o3_72h_trend,0.033410596402379915
temp_48h_trend,0.03291469381376941
o3_6h_mean,0.03154741544176815
o3_18h_std,0.031541018718958626
so2_12h_std,0.03066307623275459
pm2_5_6h_std,0.03065514619153478
pm10_change_3h,0.030511476656085033
o3_change_3h,0.030456029358784473
pm10_lag_48h,0.02967076175651644
o3_lag_12h,0.02912584827861285
pm2_5_lag_18h,0.028984953563374577
temp_18h_mean,0.028898931556076122
pm2_5_change_18h,0.028811697309372105
no2_change_24h,0.02842399527105577
pm2_5_lag_36h,0.028403070393301515
temp_6h_mean,0.027886067359278684
co_24h_trend,0.02786378231188548
pm10_lag_72h,0.027627152533008573
wind_speed_6h_max,0.027313208213963994
no2_72h_trend,0.02673420418251205
pm2_5_lag_48h,0.026292520756170903
so2_change_1h,0.02564613975411555
so2_18h_mean,0.02472141760080029
wind_speed_60h_max,0.02334559884845455
pm2_5_6h_trend,0.023340624532802452
temperature,0.023248915083548462
pm2_5_change_3h,0.02314497454623786
pm10_24h_std,0.022000367797660215
so2_lag_24h,0.021386904742981584
temp_12h_trend,0.021205388828061743
co_36h_mean,0.021179714006310073
so2_lag_12h,0.020857336501878133
no2_60h_mean,0.02065507151528708
no2_48h_trend,0.019827059027665912
o3_lag_48h,0.019288817177021828
so2_change_18h,0.019151148322782717
pm2_5_24h_trend,0.01858003824113611
