aqi_category,co,coco,day,day_of_week,day_of_year,day_of_year_cos,day_of_year_sin,dew_point,hour,is_weekend,month,nh3,no,no2,o3,pm10,pm2_5,precipitation,pressure,relative_humidity,snow,so2,temperature,timestamp,tsun,week_cos,week_of_year,week_sin,wind_direction,wind_speed,wpgt
5,2296.45,5,4,1,63,0.467359217,0.88406751,8.1,0,0,3,20.52,4.36,67.86,0.67,135.52,107.63,0,1015,94,,3.87,9,3/4/2025 0:00,,0.354604887,10,0.935016243,0,0,
5,2136.23,5,4,1,63,0.467359217,0.88406751,7,1,0,3,13.81,3.07,63.06,1.39,119.84,101.55,0,1015,100,,3.76,7,3/4/2025 1:00,,0.354604887,10,0.935016243,219,6.5,
5,2189.64,5,4,1,63,0.467359217,0.88406751,7,2,0,3,12.92,8.72,60.32,0.45,123.58,103.96,0,1016,100,,4.35,7,3/4/2025 2:00,,0.354604887,10,0.935016243,225,6.5,
5,2616.88,5,4,1,63,0.467359217,0.88406751,9,3,0,3,13.17,26.82,56.89,3.8,135.86,111.99,0,1018.2,100,,5.07,9,3/4/2025 3:00,,0.354604887,10,0.935016243,180,3.6,
5,3150.94,5,4,1,63,0.467359217,0.88406751,6.9,4,0,3,14.31,44.26,55.52,15.2,150.38,122.99,0,1017,76,,5.72,11,3/4/2025 4:00,,0.354604887,10,0.935016243,203,5,
5,3685,5,4,1,63,0.467359217,0.88406751,4.9,5,0,3,23.81,45.6,71.29,33.26,168.45,137.25,0,1019,51,,6.74,15,3/4/2025 5:00,,0.354604887,10,0.935016243,130,7,
5,3845.21,5,4,1,63,0.467359217,0.88406751,5.6,6,0,3,28.88,31.74,87.05,75.1,180.61,147.43,0,1019.1,50,,7.63,16,3/4/2025 6:00,,0.354604887,10,0.935016243,310,3.6,
4,1188.28,5,4,1,63,0.467359217,0.88406751,0.2,7,0,3,9.12,3.63,18.85,150.2,45.05,33.52,0,1019,30,,3.73,18,3/4/2025 7:00,,0.354604887,10,0.935016243,50,11,
4,627.52,1,4,1,63,0.467359217,0.88406751,-5.2,8,0,3,5.32,1.08,6.17,155.93,17.17,11.31,0,1019,19,,2.32,19,3/4/2025 8:00,,0.354604887,10,0.935016243,130,15,
4,487.33,1,4,1,63,0.467359217,0.88406751,-2.4,9,0,3,4.43,0.8,4.63,148.77,10.19,6.17,0,1017.1,22,,2,20,3/4/2025 9:00,,0.354604887,10,0.935016243,310,3.6,
4,480.65,1,4,1,63,0.467359217,0.88406751,0.2,10,0,3,5.32,1.05,6.34,143.05,10.21,6.31,0,1018,25,,2.5,21,3/4/2025 10:00,,0.354604887,10,0.935016243,230,15,
4,587.46,1,4,1,63,0.467359217,0.88406751,-2.2,11,0,3,8.36,1.61,11.65,140.19,15.58,10.31,0,1018,21,,3.81,21,3/4/2025 11:00,,0.354604887,10,0.935016243,230,15,
3,660.9,1,4,1,63,0.467359217,0.88406751,5,12,0,3,9.88,1.56,17.65,131.61,18.15,12.3,0,1017.4,33,,4.17,22,3/4/2025 12:00,,0.354604887,10,0.935016243,230,11.2,
2,1094.82,1,4,1,63,0.467359217,0.88406751,7.6,13,0,3,22.8,1.16,47.98,86.55,31.94,21.37,0,1017.3,66,,5.6,13.8,3/4/2025 13:00,,0.354604887,10,0.935016243,312,4.7,
3,1842.5,1,4,1,63,0.467359217,0.88406751,-0.8,14,0,3,51.68,0.33,94.59,30.04,66.66,45.33,0,1018,28,,10.13,18,3/4/2025 14:00,,0.354604887,10,0.935016243,230,15,
5,2696.99,5,4,1,63,0.467359217,0.88406751,9.1,15,0,3,89.17,6.2,127.49,2.91,110.31,79.12,0,1020.2,77,,15.97,13,3/4/2025 15:00,,0.354604887,10,0.935016243,230,3.6,
5,3124.24,5,4,1,63,0.467359217,0.88406751,4.9,16,0,3,125.65,9.83,134.35,0.7,146.24,108.2,0,1020,58,,20.74,13,3/4/2025 16:00,,0.354604887,10,0.935016243,314,3.2,
5,3391.27,5,4,1,63,0.467359217,0.88406751,4.9,17,0,3,154.02,11.85,135.72,0.37,177.36,132.7,0,1020,58,,23.6,13,3/4/2025 17:00,,0.354604887,10,0.935016243,307,4,
5,3631.59,5,4,1,63,0.467359217,0.88406751,4.4,18,0,3,174.28,16.76,138.46,0.1,198.97,149.11,0,1012.5,73,,25.27,9,3/4/2025 18:00,,0.354604887,10,0.935016243,0,0,
5,3578.19,5,4,1,63,0.467359217,0.88406751,6.9,19,0,3,182.39,17.21,135.72,0.12,194.82,146.22,0,1020,76,,23.6,11,3/4/2025 19:00,,0.354604887,10,0.935016243,251,5,
5,3177.64,5,4,1,63,0.467359217,0.88406751,6.9,20,0,3,178.34,10.51,123.38,0.51,170.69,127.5,0,1020,76,,20.27,11,3/4/2025 20:00,,0.354604887,10,0.935016243,267,5,
5,2590.18,5,4,1,63,0.467359217,0.88406751,2.8,21,0,3,164.15,2.85,102.82,3.76,138.01,102.09,0,1020,72,,16.21,7.5,3/4/2025 21:00,,0.354604887,10,0.935016243,0,0,
4,1949.31,5,4,1,63,0.467359217,0.88406751,6.9,22,0,3,116.53,0.23,71.29,15.74,98.55,71.42,0,1020,76,,10.13,11,3/4/2025 22:00,,0.354604887,10,0.935016243,276,5.4,
