aqi_category,co,nh3,no,no2,o3,pm10,pm2_5,so2,timestamp
5.0,2456.67,24.07,7.82,87.74,0.6,136.5,97.88,5.84,2025-03-03 19:00:00
5.0,2456.67,32.93,8.16,82.94,0.26,137.16,99.82,5.78,2025-03-03 20:00:00
5.0,2456.67,51.17,8.61,80.2,0.1,145.38,105.66,6.85,2025-03-03 21:00:00
5.0,2429.96,61.81,7.6,76.77,0.27,148.77,108.97,7.45,2025-03-03 22:00:00
5.0,2376.56,38.0,5.64,71.29,0.41,143.65,108.25,5.42,2025-03-03 23:00:00
5.0,2296.45,20.52,4.36,67.86,0.67,135.52,107.63,3.87,2025-03-04 00:00:00
5.0,2136.23,13.81,3.07,63.06,1.39,119.84,101.55,3.76,2025-03-04 01:00:00
5.0,2189.64,12.92,8.72,60.32,0.45,123.58,103.96,4.35,2025-03-04 02:00:00
5.0,2616.88,13.17,26.82,56.89,3.8,135.86,111.99,5.07,2025-03-04 03:00:00
5.0,3150.94,14.31,44.26,55.52,15.2,150.38,122.99,5.72,2025-03-04 04:00:00
5.0,3685.0,23.81,45.6,71.29,33.26,168.45,137.25,6.74,2025-03-04 05:00:00
5.0,3845.21,28.88,31.74,87.05,75.1,180.61,147.43,7.63,2025-03-04 06:00:00
4.0,1188.28,9.12,3.63,18.85,150.2,45.05,33.52,3.73,2025-03-04 07:00:00
4.0,627.52,5.32,1.08,6.17,155.93,17.17,11.31,2.32,2025-03-04 08:00:00
4.0,487.33,4.43,0.8,4.63,148.77,10.19,6.17,2.0,2025-03-04 09:00:00
4.0,480.65,5.32,1.05,6.34,143.05,10.21,6.31,2.5,2025-03-04 10:00:00
4.0,587.46,8.36,1.61,11.65,140.19,15.58,10.31,3.81,2025-03-04 11:00:00
3.0,660.9,9.88,1.56,17.65,131.61,18.15,12.3,4.17,2025-03-04 12:00:00
2.0,1094.82,22.8,1.16,47.98,86.55,31.94,21.37,5.6,2025-03-04 13:00:00
3.0,1842.5,51.68,0.33,94.59,30.04,66.66,45.33,10.13,2025-03-04 14:00:00
5.0,2696.99,89.17,6.2,127.49,2.91,110.31,79.12,15.97,2025-03-04 15:00:00
5.0,3124.24,125.65,9.83,134.35,0.7,146.24,108.2,20.74,2025-03-04 16:00:00
5.0,3391.27,154.02,11.85,135.72,0.37,177.36,132.7,23.6,2025-03-04 17:00:00
5.0,3631.59,174.28,16.76,138.46,0.1,198.97,149.11,25.27,2025-03-04 18:00:00
5.0,3578.19,182.39,17.21,135.72,0.12,194.82,146.22,23.6,2025-03-04 19:00:00
5.0,3177.64,178.34,10.51,123.38,0.51,170.69,127.5,20.27,2025-03-04 20:00:00
5.0,2590.18,164.15,2.85,102.82,3.76,138.01,102.09,16.21,2025-03-04 21:00:00
4.0,1949.31,116.53,0.23,71.29,15.74,98.55,71.42,10.13,2025-03-04 22:00:00
4.0,1535.42,104.37,0.02,47.3,31.11,73.44,51.87,8.11,2025-03-04 23:00:00
3.0,1361.85,103.35,0.01,37.36,40.05,64.14,44.47,7.87,2025-03-05 00:00:00
5.0,2136.23,151.99,0.19,62.38,17.7,110.57,81.17,12.4,2025-03-07 01:00:00
5.0,2563.48,162.12,7.1,78.14,3.31,128.03,93.63,15.5,2025-03-07 02:00:00
5.0,3578.19,170.23,44.26,83.63,6.97,157.01,115.91,20.03,2025-03-07 03:00:00
5.0,4539.49,182.39,77.78,95.96,17.7,196.88,148.68,24.8,2025-03-07 04:00:00
