coco,dew_point,precipitation,pressure,relative_humidity,snow,temperature,timestamp,tsun,wind_direction,wind_speed,wpgt
5.0,8.1,0.0,1015.0,94.0,,9.0,2025-03-04 00:00:00,,0.0,0.0,
5.0,7.0,0.0,1015.0,100.0,,7.0,2025-03-04 01:00:00,,219.0,6.5,
5.0,7.0,0.0,1016.0,100.0,,7.0,2025-03-04 02:00:00,,225.0,6.5,
5.0,9.0,0.0,1018.2,100.0,,9.0,2025-03-04 03:00:00,,180.0,3.6,
5.0,6.9,0.0,1017.0,76.0,,11.0,2025-03-04 04:00:00,,203.0,5.0,
5.0,4.9,0.0,1019.0,51.0,,15.0,2025-03-04 05:00:00,,130.0,7.0,
5.0,5.6,0.0,1019.1,50.0,,16.0,2025-03-04 06:00:00,,310.0,3.6,
5.0,0.2,0.0,1019.0,30.0,,18.0,2025-03-04 07:00:00,,50.0,11.0,
1.0,-5.2,0.0,1019.0,19.0,,19.0,2025-03-04 08:00:00,,130.0,15.0,
1.0,-2.4,0.0,1017.1,22.0,,20.0,2025-03-04 09:00:00,,310.0,3.6,
1.0,0.2,0.0,1018.0,25.0,,21.0,2025-03-04 10:00:00,,230.0,15.0,
1.0,-2.2,0.0,1018.0,21.0,,21.0,2025-03-04 11:00:00,,230.0,15.0,
1.0,5.0,0.0,1017.4,33.0,,22.0,2025-03-04 12:00:00,,230.0,11.2,
1.0,7.6,0.0,1017.3,66.0,,13.8,2025-03-04 13:00:00,,312.0,4.7,
1.0,-0.8,0.0,1018.0,28.0,,18.0,2025-03-04 14:00:00,,230.0,15.0,
5.0,9.1,0.0,1020.2,77.0,,13.0,2025-03-04 15:00:00,,230.0,3.6,
5.0,4.9,0.0,1020.0,58.0,,13.0,2025-03-04 16:00:00,,314.0,3.2,
5.0,4.9,0.0,1020.0,58.0,,13.0,2025-03-04 17:00:00,,307.0,4.0,
5.0,4.4,0.0,1012.5,73.0,,9.0,2025-03-04 18:00:00,,0.0,0.0,
5.0,6.9,0.0,1020.0,76.0,,11.0,2025-03-04 19:00:00,,251.0,5.0,
5.0,6.9,0.0,1020.0,76.0,,11.0,2025-03-04 20:00:00,,267.0,5.0,
5.0,2.8,0.0,1020.0,72.0,,7.5,2025-03-04 21:00:00,,0.0,0.0,
5.0,6.9,0.0,1020.0,76.0,,11.0,2025-03-04 22:00:00,,276.0,5.4,
5.0,6.9,0.0,1020.0,76.0,,11.0,2025-03-04 23:00:00,,230.0,7.0,
5.0,4.7,0.0,1012.5,85.0,,7.0,2025-03-05 00:00:00,,0.0,0.0,
5.0,5.0,0.0,1020.0,87.0,,7.0,2025-03-05 01:00:00,,244.0,6.8,
5.0,4.9,0.0,1020.0,81.0,,8.0,2025-03-05 02:00:00,,246.0,6.8,
5.0,3.9,0.0,1012.6,78.0,,7.5,2025-03-05 03:00:00,,0.0,0.0,
5.0,1.9,0.0,1021.0,41.0,,15.0,2025-03-05 04:00:00,,130.0,15.0,
1.0,-1.2,0.0,1021.0,29.0,,17.0,2025-03-05 05:00:00,,360.0,11.0,
1.0,3.6,0.0,1021.4,35.0,,19.5,2025-03-05 06:00:00,,230.0,3.6,
1.0,-5.0,0.0,1019.0,17.0,,21.0,2025-03-05 07:00:00,,50.0,22.0,
1.0,-6.9,0.0,1016.0,13.0,,23.0,2025-03-05 08:00:00,,310.0,37.0,
1.0,-6.5,0.0,1016.8,13.0,,23.5,2025-03-05 09:00:00,,310.0,7.6,
2.0,-6.9,0.0,1016.0,13.0,,23.0,2025-03-05 10:00:00,,50.0,30.0,
1.0,-7.2,0.0,1016.0,12.0,,24.0,2025-03-05 11:00:00,,50.0,19.0,
1.0,-6.8,0.0,1014.4,12.0,,24.5,2025-03-05 12:00:00,,310.0,7.6,
3.0,-7.2,0.0,1015.0,12.0,,24.0,2025-03-05 13:00:00,,50.0,26.0,
2.0,1.9,0.0,1015.0,34.0,,18.0,2025-03-05 14:00:00,,90.0,7.0,
3.0,10.3,0.0,1015.5,69.0,,16.0,2025-03-05 15:00:00,,310.0,3.6,
3.0,4.1,0.0,1015.0,45.0,,16.0,2025-03-05 16:00:00,,230.0,11.0,
3.0,4.1,0.0,1015.0,48.0,,15.0,2025-03-05 17:00:00,,230.0,11.0,
3.0,8.1,0.0,1015.4,72.0,,13.0,2025-03-05 18:00:00,,180.0,3.6,
3.0,4.1,0.0,1014.0,48.0,,15.0,2025-03-05 19:00:00,,230.0,11.0,
2.0,4.1,0.0,1014.0,48.0,,15.0,2025-03-05 20:00:00,,230.0,11.0,
5.0,5.7,0.0,1015.1,80.0,,9.0,2025-03-05 21:00:00,,180.0,3.6,
5.0,3.0,0.0,1013.0,54.0,,12.0,2025-03-05 22:00:00,,180.0,7.0,
5.0,2.0,0.0,1013.0,54.0,,11.0,2025-03-05 23:00:00,,230.0,7.0,
5.0,6.9,0.0,1013.8,93.0,,8.0,2025-03-06 00:00:00,,180.0,3.6,
5.0,2.0,0.0,1013.0,54.0,,11.0,2025-03-06 01:00:00,,230.0,11.0,
5.0,1.0,0.0,1013.0,50.0,,11.0,2025-03-06 02:00:00,,230.0,11.0,
5.0,5.3,0.0,1016.5,86.0,,7.5,2025-03-06 03:00:00,,230.0,3.6,
5.0,4.1,0.0,1015.0,45.0,,16.0,2025-03-06 04:00:00,,130.0,7.0,
5.0,1.9,0.0,1014.0,34.0,,18.0,2025-03-06 05:00:00,,90.0,7.0,
5.0,3.6,0.0,1013.7,30.0,,22.0,2025-03-06 06:00:00,,50.0,3.6,
1.0,-1.2,0.0,1014.0,20.0,,23.0,2025-03-06 07:00:00,,130.0,7.0,
1.0,-1.8,0.0,1013.0,17.0,,25.0,2025-03-06 08:00:00,,310.0,19.0,
1.0,6.1,0.0,1011.2,28.0,,26.0,2025-03-06 09:00:00,,90.0,3.6,
1.0,2.0,0.0,1012.0,21.0,,26.0,2025-03-06 10:00:00,,50.0,30.0,
1.0,3.0,0.0,1012.0,24.0,,25.0,2025-03-06 11:00:00,,50.0,30.0,
1.0,8.5,0.0,1010.8,35.0,,25.0,2025-03-06 12:00:00,,130.0,7.6,
1.0,1.9,0.0,1012.0,25.0,,23.0,2025-03-06 13:00:00,,130.0,7.0,
1.0,1.9,0.0,1012.0,25.0,,23.0,2025-03-06 14:00:00,,130.0,7.0,
1.0,10.6,0.0,1013.3,66.0,,17.0,2025-03-06 15:00:00,,0.0,0.0,
1.0,8.0,0.0,1014.0,52.0,,18.0,2025-03-06 16:00:00,,230.0,7.0,
1.0,6.1,0.0,1014.0,52.0,,16.0,2025-03-06 17:00:00,,230.0,7.0,
3.0,10.2,0.0,1014.6,78.0,,14.0,2025-03-06 18:00:00,,0.0,0.0,
3.0,8.9,0.0,1014.0,67.0,,15.0,2025-03-06 19:00:00,,230.0,7.0,
3.0,8.9,0.0,1014.0,67.0,,15.0,2025-03-06 20:00:00,,230.0,7.0,
3.0,10.1,0.0,1014.4,88.0,,12.0,2025-03-06 21:00:00,,0.0,0.0,
3.0,9.1,0.0,1013.0,77.0,,13.0,2025-03-06 22:00:00,,130.0,7.0,
3.0,7.0,0.0,1013.0,67.0,,13.0,2025-03-06 23:00:00,,230.0,7.0,
3.0,10.1,0.0,1013.5,88.0,,12.0,2025-03-07 00:00:00,,0.0,0.0,
3.0,7.1,0.0,1013.0,72.0,,12.0,2025-03-07 01:00:00,,130.0,7.0,
3.0,7.1,0.0,1013.0,72.0,,12.0,2025-03-07 02:00:00,,130.0,7.0,
3.0,9.1,0.0,1014.4,88.0,,11.0,2025-03-07 03:00:00,,0.0,0.0,
5.0,5.9,0.0,1014.0,45.0,,18.0,2025-03-07 04:00:00,,200.0,4.3,
5.0,3.2,0.0,1014.0,33.0,,20.0,2025-03-07 05:00:00,,235.0,2.5,
5.0,6.2,0.0,1014.2,36.0,,22.0,2025-03-07 06:00:00,,360.0,3.6,
5.0,4.9,0.0,1013.0,29.0,,24.0,2025-03-07 07:00:00,,130.0,11.0,
5.0,1.8,0.0,1013.0,22.0,,25.0,2025-03-07 08:00:00,,130.0,7.0,
5.0,7.1,0.0,1011.3,30.0,,26.0,2025-03-07 09:00:00,,360.0,3.6,
5.0,2.8,0.0,1010.0,21.0,,27.0,2025-03-07 10:00:00,,130.0,7.0,
5.0,5.3,0.0,1009.0,25.0,,27.0,2025-03-07 11:00:00,,130.0,7.0,
5.0,10.6,0.0,1008.7,37.0,,26.5,2025-03-07 12:00:00,,130.0,3.6,
5.0,7.1,0.0,1009.0,36.0,,23.0,2025-03-07 13:00:00,,130.0,7.0,
5.0,6.9,0.0,1010.0,40.0,,21.0,2025-03-07 14:00:00,,310.0,3.6,
5.0,11.1,0.0,1010.4,66.0,,17.5,2025-03-07 15:00:00,,90.0,3.6,
5.0,10.1,0.0,1011.0,60.0,,18.0,2025-03-07 16:00:00,,8.0,6.5,
5.0,7.9,0.0,1012.0,55.0,,17.0,2025-03-07 17:00:00,,44.0,5.8,
5.0,11.2,0.0,1012.9,78.0,,15.0,2025-03-07 18:00:00,,0.0,0.0,
5.0,7.9,0.0,1012.0,55.0,,17.0,2025-03-07 19:00:00,,153.0,5.4,
5.0,7.9,0.0,1012.0,55.0,,17.0,2025-03-07 20:00:00,,142.0,7.6,
5.0,10.2,0.0,1013.1,83.0,,13.0,2025-03-07 21:00:00,,130.0,3.6,
5.0,8.0,0.0,1011.0,63.0,,15.0,2025-03-07 22:00:00,,180.0,7.0,
5.0,3.2,0.0,1012.0,45.0,,15.0,2025-03-07 23:00:00,,230.0,11.0,
5.0,6.8,0.0,1011.4,66.0,,13.0,2025-03-08 00:00:00,,130.0,3.6,
5.0,1.0,0.0,1012.0,41.0,,14.0,2025-03-08 01:00:00,,230.0,11.0,
5.0,1.2,0.0,1012.0,39.0,,15.0,2025-03-08 02:00:00,,230.0,11.0,
5.0,4.3,0.0,1012.2,43.0,,17.0,2025-03-08 03:00:00,,90.0,3.6,
1.0,4.1,0.0,1013.0,35.0,,20.0,2025-03-08 04:00:00,,230.0,11.0,
1.0,3.2,0.0,1013.0,33.0,,20.0,2025-03-08 05:00:00,,230.0,11.0,
1.0,7.1,0.0,1010.9,30.0,,26.0,2025-03-08 06:00:00,,130.0,3.6,
1.0,2.8,0.0,1011.0,21.0,,27.0,2025-03-08 07:00:00,,230.0,19.0,
1.0,0.7,0.0,1010.0,17.0,,28.0,2025-03-08 08:00:00,,230.0,22.0,
1.0,2.9,0.0,1008.9,20.0,,28.0,2025-03-08 09:00:00,,310.0,7.6,
1.0,-4.4,0.0,1008.0,11.0,,29.0,2025-03-08 10:00:00,,310.0,22.0,
3.0,-3.3,0.0,1007.0,12.0,,29.0,2025-03-08 11:00:00,,310.0,22.0,
2.0,3.8,0.0,1006.6,20.0,,29.0,2025-03-08 12:00:00,,310.0,11.2,
3.0,-3.8,0.0,1007.0,13.0,,27.0,2025-03-08 13:00:00,,310.0,19.0,
3.0,-1.8,0.0,1008.0,18.0,,24.0,2025-03-08 14:00:00,,180.0,15.0,
3.0,8.6,0.0,1009.3,48.0,,20.0,2025-03-08 15:00:00,,0.0,0.0,
3.0,3.2,0.0,1009.0,31.0,,21.0,2025-03-08 16:00:00,,230.0,11.0,
3.0,1.9,0.0,1010.0,30.0,,20.0,2025-03-08 17:00:00,,230.0,11.0,
1.0,10.3,0.0,1011.8,69.0,,16.0,2025-03-08 18:00:00,,0.0,0.0,
5.0,4.2,0.0,1010.0,40.0,,18.0,2025-03-08 19:00:00,,323.0,2.9,
5.0,5.9,0.0,1010.0,48.0,,17.0,2025-03-08 20:00:00,,360.0,7.0,
5.0,9.1,0.0,1013.1,77.0,,13.0,2025-03-08 21:00:00,,130.0,3.6,
5.0,5.0,0.0,1011.0,48.0,,16.0,2025-03-08 22:00:00,,244.0,2.2,
5.0,5.1,0.0,1011.0,55.0,,14.0,2025-03-08 23:00:00,,242.0,4.7,
5.0,7.9,0.0,1012.6,81.0,,11.0,2025-03-09 00:00:00,,0.0,0.0,
1.0,6.1,0.0,1012.0,59.0,,14.0,2025-03-09 01:00:00,,230.0,7.0,
3.0,6.1,0.0,1012.0,59.0,,14.0,2025-03-09 02:00:00,,230.0,7.0,
2.0,9.1,0.0,1015.3,77.0,,13.0,2025-03-09 03:00:00,,0.0,0.0,
2.0,5.1,0.0,1015.0,40.0,,19.0,2025-03-09 04:00:00,,230.0,7.0,
3.0,5.0,0.0,1016.0,33.0,,22.0,2025-03-09 05:00:00,,230.0,7.0,
3.0,9.4,0.0,1015.5,46.0,,21.5,2025-03-09 06:00:00,,50.0,7.6,
3.0,5.0,0.0,1015.0,31.0,,23.0,2025-03-09 07:00:00,,50.0,7.0,
3.0,7.2,0.0,1014.0,34.0,,24.0,2025-03-09 08:00:00,,50.0,7.0,
5.0,10.8,0.0,1014.5,41.0,,25.0,2025-03-09 09:00:00,,50.0,3.6,
5.0,7.2,0.0,1013.0,34.0,,24.0,2025-03-09 10:00:00,,50.0,7.0,
3.0,1.8,0.0,1013.0,22.0,,25.0,2025-03-09 11:00:00,,130.0,7.0,
5.0,6.1,0.0,1012.0,29.0,,25.5,2025-03-09 12:00:00,,360.0,3.6,
5.0,7.1,0.0,1014.0,36.0,,23.0,2025-03-09 13:00:00,,24.0,10.1,
