timestamp,aqi_category,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,dew_point,relative_humidity,precipitation,snow,wind_direction,wind_speed,wpgt,pressure,tsun,coco,hour,day,month,day_of_week,is_weekend,day_of_year,day_of_year_sin,day_of_year_cos,week_of_year,week_sin,week_cos
2025-08-13 16:00:00,4,301.34,0.0,9.14,64.35,2.04,58.54,142.55,4.33,31.0,26.0,75.0,0.0,,310.0,15.0,,1000.0,,1.0,16,13,8,2,0,225,-0.6680638642135333,-0.7441039398713608,33,-0.7485107481711011,-0.6631226582407952
2025-08-13 17:00:00,4,333.62,0.0,10.55,59.02,1.98,60.42,143.31,4.99,30.0,25.9,79.0,0.0,,310.0,15.0,,1002.0,,2.0,17,13,8,2,0,225,-0.6680638642135333,-0.7441039398713608,33,-0.7485107481711011,-0.6631226582407952
2025-08-13 18:00:00,4,348.05,0.0,10.97,57.57,2.01,61.43,144.92,5.11,30.0,26.6,82.0,0.0,,0.0,0.0,,1000.0,,3.0,18,13,8,2,0,225,-0.6680638642135333,-0.7441039398713608,33,-0.7485107481711011,-0.6631226582407952
2025-08-13 19:00:00,4,324.9,0.0,9.61,62.15,2.27,60.59,146.61,4.37,30.0,25.1,75.0,0.0,,310.0,11.0,,1002.0,,3.0,19,13,8,2,0,225,-0.6680638642135333,-0.7441039398713608,33,-0.7485107481711011,-0.6631226582407952
2025-08-13 20:00:00,4,322.13,0.0,9.45,61.34,2.48,60.47,145.73,4.44,30.0,25.1,75.0,0.0,,310.0,11.0,,1002.0,,2.0,20,13,8,2,0,225,-0.6680638642135333,-0.7441039398713608,33,-0.7485107481711011,-0.6631226582407952
2025-08-13 21:00:00,4,321.3,0.0,9.26,59.79,2.65,60.27,144.85,4.61,29.0,26.2,85.0,0.0,,0.0,0.0,,999.6,,2.0,21,13,8,2,0,225,-0.6680638642135333,-0.7441039398713608,33,-0.7485107481711011,-0.6631226582407952
2025-08-13 22:00:00,4,323.24,0.0,9.27,57.08,2.69,59.92,143.4,4.82,29.0,26.0,84.0,0.0,,310.0,15.0,,1001.0,,2.0,22,13,8,2,0,225,-0.6680638642135333,-0.7441039398713608,33,-0.7485107481711011,-0.6631226582407952
2025-08-13 23:00:00,4,330.88,0.0,9.54,53.72,2.62,60.08,142.75,5.12,29.0,26.0,84.0,0.0,,310.0,15.0,,1001.0,,2.0,23,13,8,2,0,225,-0.6680638642135333,-0.7441039398713608,33,-0.7485107481711011,-0.6631226582407952
2025-08-14 00:00:00,4,339.58,0.0,9.89,50.35,2.49,60.39,142.59,5.39,28.5,26.3,88.0,0.0,,0.0,0.0,,999.6,,2.0,0,14,8,3,0,226,-0.6807734094770159,-0.7324940716135792,33,-0.7485107481711011,-0.6631226582407952
2025-08-14 01:00:00,4,347.63,0.0,10.16,47.04,2.37,60.42,142.58,5.52,29.0,26.0,84.0,0.0,,310.0,11.0,,1002.0,,2.0,1,14,8,3,0,226,-0.6807734094770159,-0.7324940716135792,33,-0.7485107481711011,-0.6631226582407952
2025-08-14 02:00:00,4,359.83,0.04,10.48,44.84,2.48,60.36,144.1,5.47,29.0,26.0,84.0,0.0,,310.0,11.0,,1002.0,,3.0,2,14,8,3,0,226,-0.6807734094770159,-0.7324940716135792,33,-0.7485107481711011,-0.6631226582407952
2025-08-14 03:00:00,4,356.8,0.32,9.75,47.51,2.98,59.63,147.74,4.87,30.0,27.4,86.0,0.0,,0.0,0.0,,1000.6,,3.0,3,14,8,3,0,226,-0.6807734094770159,-0.7324940716135792,33,-0.7485107481711011,-0.6631226582407952
