timestamp,aqi_category,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-08-13 11:00:00,4,190.15,0.13,1.88,85.81,2.06,40.71,111.94,0.48
2025-08-13 12:00:00,4,189.69,0.14,2.11,87.17,2.0,43.8,119.14,0.62
2025-08-13 13:00:00,4,208.44,0.12,3.66,83.59,2.01,48.5,128.46,1.46
2025-08-13 14:00:00,4,241.02,0.02,6.0,76.22,2.06,52.99,136.01,2.62
2025-08-13 15:00:00,4,270.29,0.0,7.54,70.82,2.1,56.44,141.67,3.46
2025-08-13 16:00:00,4,301.34,0.0,9.14,64.35,2.04,58.54,142.55,4.33
2025-08-13 17:00:00,4,333.62,0.0,10.55,59.02,1.98,60.42,143.31,4.99
2025-08-13 18:00:00,4,348.05,0.0,10.97,57.57,2.01,61.43,144.92,5.11
2025-08-13 19:00:00,4,324.9,0.0,9.61,62.15,2.27,60.59,146.61,4.37
2025-08-13 20:00:00,4,322.13,0.0,9.45,61.34,2.48,60.47,145.73,4.44
2025-08-13 21:00:00,4,321.3,0.0,9.26,59.79,2.65,60.27,144.85,4.61
2025-08-13 22:00:00,4,323.24,0.0,9.27,57.08,2.69,59.92,143.4,4.82
2025-08-13 23:00:00,4,330.88,0.0,9.54,53.72,2.62,60.08,142.75,5.12
2025-08-14 00:00:00,4,339.58,0.0,9.89,50.35,2.49,60.39,142.59,5.39
2025-08-14 01:00:00,4,347.63,0.0,10.16,47.04,2.37,60.42,142.58,5.52
2025-08-14 02:00:00,4,359.83,0.04,10.48,44.84,2.48,60.36,144.1,5.47
2025-08-14 03:00:00,4,356.8,0.32,9.75,47.51,2.98,59.63,147.74,4.87
2025-08-14 04:00:00,4,246.92,0.27,4.64,69.56,3.92,53.26,151.73,1.49
2025-08-14 05:00:00,4,215.08,0.26,3.28,76.37,3.37,49.85,146.4,0.93
2025-08-14 06:00:00,4,203.07,0.23,2.65,81.68,3.1,49.06,143.92,0.8
2025-08-14 07:00:00,4,174.46,0.15,1.75,87.37,2.65,46.09,137.18,0.29
2025-08-14 08:00:00,4,156.6,0.11,1.44,86.67,2.25,41.34,124.54,0.11
2025-08-14 09:00:00,4,150.48,0.1,1.53,82.94,2.09,37.17,114.06,0.12
