,RMSE,MAE,R²,MAPE (%)
random_forest,31.07504846710828,27.842573619631903,-0.039202349258194324,0.278111549197852
gradient_boosting,34.7522093963779,30.24323883701359,-0.29969465010272534,0.3277359564972847
linear_regression,39.44527519275232,32.56245996461432,-0.6744279744225354,0.2922949056766951
ridge,36.268512599738465,28.42844476191,-0.415585093903428,0.29930120794201187
lasso,35.60397120735803,28.56127056112994,-0.36418532323787556,0.2830243808883632
svr,29.022154871079035,25.54374768408272,0.0935668062052677,0.2602907113627297
knn,35.303983350948066,28.725745581102746,-0.3412937773004965,0.243519948533834
decision_tree,36.45858370673922,29.45138888888889,-0.43046118547137935,0.2886404079244852
lightgbm,31.638837628834963,27.738111677198972,-0.07725254770412482,0.2850425135371611
xgboost,31.293981756936997,27.869042905561763,-0.053896932887237625,0.2836112625812345
catboost,30.60811014254752,27.287086217808188,-0.008206565976794922,0.2663660427014445
blended_ensemble,32.49176454057309,28.041470961277543,-0.1361170702704253,0.2566188790657655
