Model,Horizon,RMSE,MAE,R²,MAPE (%)
random_forest,24h,23.183150603308977,18.291886503067488,0.3499552144526038,0.17756169126211385
random_forest,48h,29.944398834580355,24.896457055214725,0.00624514875203297,0.24453423825896523
random_forest,72h,36.32289941021252,30.352806748466257,-0.41983378664652804,0.29954629825869666
gradient_boosting,24h,22.471392530375436,18.136286164294884,0.3892572250774692,0.19036708734217356
gradient_boosting,48h,31.12734416161253,25.586434413786677,-0.07382175837113536,0.25321506267255706
gradient_boosting,72h,38.76151627602128,32.21907178399448,-0.6168808056131097,0.31856998181546936
linear_regression,24h,56.07095577072516,51.5961185600855,-2.802544313952544,0.558135702528272
linear_regression,48h,37.65133073912206,31.438462939805056,-0.571117714681844,0.35463644611924394
linear_regression,72h,40.3844795252905,31.959710248270614,-0.7551145664853451,0.36780851487398675
ridge,24h,47.17114895982492,42.12257507091894,-1.6912328485915396,0.4628173085100669
ridge,48h,34.212342494076125,28.20436039991145,-0.29722015185103223,0.31767173208643684
ridge,72h,37.502688916478434,29.887469992263473,-0.5135657979200536,0.34067796733974226
lasso,24h,53.652063513239156,49.10932161097203,-2.4815386909127617,0.5326157057579829
lasso,48h,36.77819521957585,30.555575759128242,-0.49909409009197403,0.34490434224081795
lasso,72h,39.670910559600465,31.290133666377038,-0.6936389316638445,0.3602117475010917
svr,24h,30.082776158227762,24.052400187979842,-0.09454643361754433,0.2835074914655097
svr,48h,26.306983881567824,22.027715749174575,0.23300915167892722,0.23130614218054482
svr,72h,33.0319986027794,28.328002918060715,-0.17421113238453767,0.2893003295965062
knn,24h,24.9357541129485,20.63474991719936,0.24795577706703664,0.19908127086576022
knn,48h,28.517352521381053,23.7379855432376,0.09870601416008384,0.2170138563046977
knn,72h,34.15844468313142,28.551611182411065,-0.2556617543545274,0.2590765763515902
decision_tree,24h,35.14412149839059,25.96027972538709,-0.4938388477606508,0.2580388179880562
decision_tree,48h,41.087765631975365,34.09501838056286,-0.8709970994257874,0.32444532705540335
decision_tree,72h,43.931732677584655,37.52111756256695,-1.0769840195252023,0.3544908195145308
lightgbm,24h,23.744985390518107,19.451352687078632,0.3180662588387354,0.19724097893989395
lightgbm,48h,29.727302588825932,24.908617225609962,0.02060231730286577,0.2497793506229571
lightgbm,72h,35.3805560065203,29.727857146290262,-0.34711849164379216,0.29503536377916617
xgboost,24h,22.807705113503594,18.484051698555977,0.37083936174936827,0.19253192935138844
xgboost,48h,29.99294453126757,24.737138245003354,0.003020396963640537,0.2508573580535656
xgboost,72h,36.50927028268008,30.562591295300816,-0.4344413499387729,0.304554334135649
catboost,24h,22.52956258542313,18.58744000413196,0.3860911619338918,0.18300033299927249
catboost,48h,29.05812552261871,24.25758659656174,0.06419953744135909,0.23840039983711864
catboost,72h,35.68209655590729,29.60459296005302,-0.37017872122312423,0.29182626170388015
blended_ensemble,24h,22.25364902420816,18.28856797796948,0.4010358428945052,0.18286340623783032
