Model,Architecture,Hidden_Dims,Sequence_Length,Epochs,Learning_Rate,Val_Loss,RMSE,MAE,R²,MAPE (%),24h_RMSE,24h_R²,48h_RMSE,48h_R²,72h_RMSE,72h_R²
TCN_LSTM,tcnlstm,"[64, 32]",24,150,0.001,21.279420948028566,29.98684743671636,26.069319407145183,-0.002442042032877604,0.26128556330998737,29.122176004788965,-2.682209014892578e-05,30.48182311685677,-0.004148364067077637,30.356543188503345,-0.00315093994140625
TCN_Attention,tcnattention,"[64, 32]",24,150,0.001,21.238795471191406,31.269918251765944,26.282825469970703,-0.09001278877258301,0.24530423184235892,30.27933611889107,-0.0810772180557251,31.67221802354944,-0.08410906791687012,31.85820061285732,-0.10485208034515381
TCN_LR_Low,tcn,"[64, 32]",24,150,0.0001,20.27916156053543,31.989787346411465,26.695886611938477,-0.14149073759714761,0.2433949907620748,29.233599376736542,-0.007693886756896973,32.6665653564543,-0.15324866771697998,34.06919730604355,-0.2635296583175659
TCN_LSTM_48h,tcnlstm,"[64, 32]",48,180,0.001,21.005364104321128,32.95740409842595,26.690027872721355,-0.2203671932220459,0.2374819815158844,31.44978229101664,-0.1309572458267212,33.351376749014236,-0.22093236446380615,34.071053255246966,-0.30921196937561035
TCN_Wide,tcn,"[256, 128]",24,150,0.001,19.231981468200683,34.70901061677295,28.263722737630207,-0.34747517108917236,0.24352691074212393,30.523931401174288,-0.09861361980438232,35.294599306896444,-0.3462711572647095,38.30850114224811,-0.5975407361984253
TCN_Large,tcn,"[128, 64]",24,150,0.001,19.455320262908934,35.233523013618786,28.432586669921875,-0.3886187473932902,0.24144123991330466,30.880376556156175,-0.12442159652709961,35.954530611376015,-0.39708638191223145,38.86566187332415,-0.6443482637405396
TCN_12h,tcn,"[64, 32]",12,150,0.001,19.64638042449951,35.96384632899981,28.96683120727539,-0.45135653018951416,0.24347756803035736,31.96289963574957,-0.22265148162841797,36.33812362403465,-0.45113253593444824,39.59051572721521,-0.6802855730056763
TCN_Shallow,tcn,"[32, 16]",24,100,0.001,19.788478636741637,36.88615650955209,30.2101624806722,-0.5169173081715902,0.25607289373874664,34.66742275098212,-0.4171217679977417,37.19103022897036,-0.49483203887939453,38.80001654870379,-0.6387981176376343
TCN_Deep,tcn,"[128, 64, 32]",24,200,0.0005,19.53371411561966,37.07499717941534,30.199684143066406,-0.5338866313298544,0.2530341496070226,33.78418407702042,-0.3458322286605835,37.5923748319764,-0.5272690057754517,39.8484326292492,-0.7285586595535278
TCN_Medium,tcn,"[64, 32]",24,150,0.001,19.804713773727418,38.545712548249234,31.389368057250977,-0.6574238538742065,0.2606795132160187,35.39718827110425,-0.4774118661880493,39.05894202546246,-0.6487581729888916,41.181007348181,-0.8461015224456787
TCN_Deeper,tcn,"[64, 64, 32]",24,180,0.001,20.172204005718232,38.609199207931304,31.48923683166504,-0.6617236534754435,0.26118913292884827,35.77454733892083,-0.5090802907943726,39.63043541437329,-0.6973589658737183,40.42261487049978,-0.7787317037582397
TCN_LR_High,tcn,"[64, 32]",24,150,0.01,19.59378852844238,38.98803968575312,32.36116409301758,-0.6958382924397787,0.26879073679447174,35.39797971316213,-0.4774777889251709,39.9802319316997,-0.7274545431137085,41.58590741239753,-0.8825825452804565
TCN_36h,tcn,"[64, 32]",36,150,0.001,19.39151474237442,40.29240561853377,33.149898529052734,-0.8131911357243856,0.2744062542915344,37.62123631507875,-0.6472791433334351,40.739209952318205,-0.7889506816864014,42.516770588204366,-1.0033435821533203
TCN_72h,tcn,"[128, 64, 32]",72,220,0.0008,19.427019081617658,40.31694654953407,33.63076082865397,-0.9023207028706869,0.29103152950604755,36.40209203723737,-0.5551655292510986,41.298717975807826,-0.9531142711639404,43.25002963555704,-1.1986823081970215
TCN_48h,tcn,"[128, 64]",48,180,0.001,19.614103944678057,44.2795205188556,36.861053466796875,-1.2015171845753987,0.3031846483548482,43.22566658772453,-1.1364576816558838,44.73484025474091,-1.196624517440796,44.87805471410136,-1.2714693546295166
